layer,module,prefix,rows,cols,fro_norm,mean_abs,q50_abs,q90_abs,q95_abs,q99_abs,max_abs,sparsity_below_epsilon
15,q_proj,base_model.model.model.layers.15.self_attn.q_proj,4608,4608,0.2513689696788788,4.032819560961798e-05,3.011721491930075e-05,8.76492922543548e-05,0.00011233035911573097,0.00017045543063431978,0.0005281404010020196,0.018748953938484192
15,k_proj,base_model.model.model.layers.15.self_attn.k_proj,512,4608,0.09525097906589508,4.561747482512146e-05,3.39153666573111e-05,0.0001000021438812837,0.00012904891627840698,0.00019616374629549682,0.0005715996958315372,0.0166905727237463
15,v_proj,base_model.model.model.layers.15.self_attn.v_proj,512,4608,0.14149627089500427,6.691273301839828e-05,4.8737729230197147e-05,0.0001489701244281605,0.0001921577932080254,0.0002958949189633131,0.0008048312156461179,0.0118238665163517
15,o_proj,base_model.model.model.layers.15.self_attn.o_proj,4608,4608,0.43711331486701965,6.849759665783495e-05,4.8665693611837924e-05,0.00015508182696066797,0.0002006718423217535,0.00030407262966036797,0.0009764608112163842,0.011941321194171906
16,q_proj,base_model.model.model.layers.16.self_attn.q_proj,4608,4608,0.3040481507778168,4.634119977708906e-05,3.097537410212681e-05,0.00010567178105702624,0.00013921222125645727,0.0002169963699998334,0.0006170450360514224,0.019083470106124878
16,k_proj,base_model.model.model.layers.16.self_attn.k_proj,512,4608,0.10007643699645996,4.834757055505179e-05,3.644609387265518e-05,0.00010649304022081196,0.00013548272545449436,0.0002014605124713853,0.00047574122436344624,0.015416886657476425
16,v_proj,base_model.model.model.layers.16.self_attn.v_proj,512,4608,0.1527027189731598,7.07941289874725e-05,4.9742593546397984e-05,0.00016009065438993275,0.00020914297783747315,0.00032705289777368307,0.0008387519046664238,0.01172468438744545
16,o_proj,base_model.model.model.layers.16.self_attn.o_proj,4608,4608,0.4223947823047638,6.736388604622334e-05,4.9527312512509525e-05,0.0001500626385677606,0.000191724015166983,0.00028662147815339267,0.0007728062919341028,0.011623005382716656
17,q_proj,base_model.model.model.layers.17.self_attn.q_proj,4608,4608,0.332375168800354,5.093116851639934e-05,3.5336466680746526e-05,0.00011518832616275176,0.00015107182844076306,0.0002371905866311863,0.0008080882835201919,0.016610557213425636
17,k_proj,base_model.model.model.layers.17.self_attn.k_proj,512,4608,0.08518803864717484,4.23885285272263e-05,3.3354466722812504e-05,8.976623939815909e-05,0.000111629422463011,0.00016168929869309068,0.0004136510833632201,0.0163294468075037
17,v_proj,base_model.model.model.layers.17.self_attn.v_proj,512,4608,0.16614516079425812,7.788295624777675e-05,5.503233114723116e-05,0.00017753345309756696,0.00023069871531333774,0.0003496123244985938,0.0008656962309032679,0.010348849929869175
17,o_proj,base_model.model.model.layers.17.self_attn.o_proj,4608,4608,0.5122004747390747,7.907790131866932e-05,5.506200614036061e-05,0.00018468072812538594,0.00024098607536870986,0.0003637518675532192,0.0009921754244714975,0.010995747521519661
18,q_proj,base_model.model.model.layers.18.self_attn.q_proj,4608,4608,0.30519989132881165,4.680205893237144e-05,3.228348941775039e-05,0.00010559087968431413,0.0001397242012899369,0.0002240329486085102,0.0007957142079249024,0.017947962507605553
18,k_proj,base_model.model.model.layers.18.self_attn.k_proj,512,4608,0.10094301402568817,4.911170617560856e-05,3.730172829818912e-05,0.00010707750334404409,0.00013588259753305465,0.00020004293764941394,0.000449155893875286,0.0151519775390625
18,v_proj,base_model.model.model.layers.18.self_attn.v_proj,512,4608,0.15287642180919647,7.313574315048754e-05,5.374731699703261e-05,0.00016369261720683426,0.00020908881560899317,0.000306337809888646,0.0007475154125131667,0.011118147522211075
18,o_proj,base_model.model.model.layers.18.self_attn.o_proj,4608,4608,0.45293688774108887,7.193895726231858e-05,5.276551382848993e-05,0.00015899285790510476,0.00020481247338466346,0.00030708126723766327,0.0008471860201098025,0.010862233117222786
19,q_proj,base_model.model.model.layers.19.self_attn.q_proj,4608,4608,0.28292033076286316,4.4235388486413285e-05,3.197722617187537e-05,9.821425919653848e-05,0.00012825160229112953,0.00020217042765580118,0.0006556222215294838,0.01784524880349636
19,k_proj,base_model.model.model.layers.19.self_attn.k_proj,512,4608,0.07225754857063293,3.591317363316193e-05,2.831086385413073e-05,7.705147436354309e-05,9.638685151003301e-05,0.00013756417320109904,0.00032785869552753866,0.01944986917078495
19,v_proj,base_model.model.model.layers.19.self_attn.v_proj,512,4608,0.16750024259090424,7.85669035394676e-05,5.5443335440941155e-05,0.0001802699116524309,0.00023257175053004175,0.0003461390151642263,0.0009093875996768475,0.01085493341088295
19,o_proj,base_model.model.model.layers.19.self_attn.o_proj,4608,4608,0.4599200487136841,7.257869583554566e-05,5.219352897256613e-05,0.00016234457143582404,0.0002120709395967424,0.00032154686050489545,0.0009190309210680425,0.010797947645187378
20,q_proj,base_model.model.model.layers.20.self_attn.q_proj,4608,4608,0.3869369626045227,5.94287266721949e-05,4.1406914533581585e-05,0.0001362894254270941,0.00018006865866482258,0.0002786984550766647,0.0008288066019304097,0.01425641868263483
20,k_proj,base_model.model.model.layers.20.self_attn.k_proj,512,4608,0.11111138761043549,5.461549881147221e-05,4.233900108374655e-05,0.00011857404751935974,0.00014852304593659937,0.00021617047605104744,0.0005380107904784381,0.01312298234552145
20,v_proj,base_model.model.model.layers.20.self_attn.v_proj,512,4608,0.1688126176595688,8.064187568379566e-05,5.9644236898748204e-05,0.00017891255265567452,0.00023009190044831485,0.0003477789869066328,0.0009568131645210087,0.009624481201171875
20,o_proj,base_model.model.model.layers.20.self_attn.o_proj,4608,4608,0.4893588721752167,7.883684156695381e-05,5.862686157342978e-05,0.00017451953317504376,0.00022225412249099463,0.00032529671443626285,0.0009031220688484609,0.009629473090171814
21,q_proj,base_model.model.model.layers.21.self_attn.q_proj,4608,4608,0.29396069049835205,4.5319520722841844e-05,3.163653309457004e-05,0.0001024073499138467,0.00013489332923199981,0.0002122841397067532,0.0006945392233319581,0.018395647406578064
21,k_proj,base_model.model.model.layers.21.self_attn.k_proj,512,4608,0.1067969799041748,5.0190163165098056e-05,3.562210622476414e-05,0.00011407364945625886,0.000148208491737023,0.0002226341748610139,0.0004934024182148278,0.01604461669921875
