layer,module,prefix,rows,cols,fro_norm,mean_abs,q50_abs,q90_abs,q95_abs,q99_abs,max_abs,sparsity_below_epsilon
6,v_proj,base_model.model.model.layers.6.self_attn.v_proj,512,4608,0.10164885967969894,4.80006419820711e-05,3.483322507236153e-05,0.0001060237264027819,0.00013780486187897623,0.00021223047224339098,0.0006093172705732286,0.01629214733839035
6,o_proj,base_model.model.model.layers.6.self_attn.o_proj,4608,4608,0.3741338849067688,5.6689870689297095e-05,3.745810317923315e-05,0.0001329898223048076,0.0001743002940202132,0.00026823568623512983,0.0009819999104365706,0.016189198940992355
7,q_proj,base_model.model.model.layers.7.self_attn.q_proj,4608,4608,0.18768829107284546,2.9696935598622076e-05,2.2178095605340786e-05,6.575180304935202e-05,8.523918950231746e-05,0.00013335308176465333,0.0004320987791288644,0.025776522234082222
7,k_proj,base_model.model.model.layers.7.self_attn.k_proj,512,4608,0.05107500031590462,2.4783355911495164e-05,1.8757393263513222e-05,5.36176266905386e-05,6.837515684310347e-05,0.00010260765702696517,0.00025347978225909173,0.0294155552983284
7,v_proj,base_model.model.model.layers.7.self_attn.v_proj,512,4608,0.10685346275568008,5.0441143685020506e-05,3.650677535915747e-05,0.00011283965432085097,0.00014488572196569294,0.00022128821001388133,0.0005918352981097996,0.01633114367723465
7,o_proj,base_model.model.model.layers.7.self_attn.o_proj,4608,4608,0.37070587277412415,5.7543897128198296e-05,4.067486952408217e-05,0.00013040211342740804,0.00016964292444754392,0.0002584015892352909,0.001004849560558796,0.014489255845546722
8,q_proj,base_model.model.model.layers.8.self_attn.q_proj,4608,4608,0.20683179795742035,3.281669341959059e-05,2.4489316274411976e-05,7.27533406461589e-05,9.409697668161243e-05,0.00014438095968216658,0.0005102639552205801,0.023182999342679977
8,k_proj,base_model.model.model.layers.8.self_attn.k_proj,512,4608,0.06853015720844269,3.278736403444782e-05,2.4517561541870236e-05,7.14183843228966e-05,9.193148434860632e-05,0.00014246857608668506,0.00034401239827275276,0.023204803466796875
8,v_proj,base_model.model.model.layers.8.self_attn.v_proj,512,4608,0.09976769983768463,4.811905455426313e-05,3.602344440878369e-05,0.00010571932944003493,0.00013461770140565932,0.0001994972990360111,0.0004830022808164358,0.015752580016851425
8,o_proj,base_model.model.model.layers.8.self_attn.o_proj,4608,4608,0.4084271490573883,6.131543341325596e-05,4.027047543786466e-05,0.00014753364666830748,0.00019515382882673293,0.0002985202590934932,0.0009161190246231854,0.0155351422727108
9,q_proj,base_model.model.model.layers.9.self_attn.q_proj,4608,4608,0.19920572638511658,3.2886477129068226e-05,2.5935767553164624e-05,7.130282756406814e-05,8.888368756743148e-05,0.0001281334989471361,0.0003369307960383594,0.02155209705233574
9,k_proj,base_model.model.model.layers.9.self_attn.k_proj,512,4608,0.06473944336175919,3.219645077479072e-05,2.5417077267775312e-05,6.886613846290857e-05,8.560993592254817e-05,0.00012188509572297335,0.00034776428947225213,0.02158186212182045
9,v_proj,base_model.model.model.layers.9.self_attn.v_proj,512,4608,0.11967667937278748,5.528051406145096e-05,3.820147321675904e-05,0.00012731894094031304,0.00016643686103634536,0.00025733711663633585,0.0006577574531547725,0.01544189453125
9,o_proj,base_model.model.model.layers.9.self_attn.o_proj,4608,4608,0.354706734418869,5.605973274214193e-05,4.0825143514666706e-05,0.00012258451897650957,0.00015937986609060317,0.00024211157870013267,0.0008869042503647506,0.0138075090944767
10,q_proj,base_model.model.model.layers.10.self_attn.q_proj,4608,4608,0.23978565633296967,3.826713145826943e-05,2.8597598429769278e-05,8.489541505696252e-05,0.00010963468957925215,0.00016588364087510854,0.0005373837775550783,0.019856253638863564
10,k_proj,base_model.model.model.layers.10.self_attn.k_proj,512,4608,0.06810148060321808,3.335929068271071e-05,2.580385989858769e-05,7.223722786875442e-05,9.118374873651192e-05,0.00013360317097976804,0.00033435405930504203,0.02162933349609375
10,v_proj,base_model.model.model.layers.10.self_attn.v_proj,512,4608,0.10469145327806473,4.9087531806435436e-05,3.536015719873831e-05,0.0001095734114642255,0.00014254660345613956,0.00022260635159909725,0.0006213075830601156,0.01633622869849205
10,o_proj,base_model.model.model.layers.10.self_attn.o_proj,4608,4608,0.36003580689430237,5.6322256568819284e-05,3.993911377619952e-05,0.00012497097486630082,0.00016202856204472482,0.0002483124553691596,0.000880785402841866,0.014250248670578003
11,q_proj,base_model.model.model.layers.11.self_attn.q_proj,4608,4608,0.1973096877336502,3.304018173366785e-05,2.6466374038136564e-05,7.031936547718942e-05,8.668863301863894e-05,0.00012127652007620782,0.00031447687069885433,0.020928652957081795
11,k_proj,base_model.model.model.layers.11.self_attn.k_proj,512,4608,0.06337891519069672,3.193299926351756e-05,2.5724395527504385e-05,6.785333971492946e-05,8.328780677402392e-05,0.00011552145588211715,0.00028811662923544645,0.0213487409055233
11,v_proj,base_model.model.model.layers.11.self_attn.v_proj,512,4608,0.10828740149736404,5.1555474783526734e-05,3.802737774094567e-05,0.00011365430691512302,0.00014679878950119019,0.00022273737704381347,0.000569585885386914,0.015055762603878975
11,o_proj,base_model.model.model.layers.11.self_attn.o_proj,4608,4608,0.35296526551246643,5.5914435506565496e-05,4.104511390323751e-05,0.000123323654406704,0.00016047430108301342,0.00024466364993713796,0.0007397925946861506,0.013798042200505733
12,q_proj,base_model.model.model.layers.12.self_attn.q_proj,4608,4608,0.2225339710712433,3.592635039240122e-05,2.708609463297762e-05,7.765021291561425e-05,9.883573511615396e-05,0.0001481123617850244,0.0004936974728479981,0.020701326429843903
12,k_proj,base_model.model.model.layers.12.self_attn.k_proj,512,4608,0.06974172592163086,3.464757537585683e-05,2.7346079150447622e-05,7.394324347842485e-05,9.208802657667547e-05,0.0001329490332864225,0.0003472920798230916,0.02014668844640255
12,v_proj,base_model.model.model.layers.12.self_attn.v_proj,512,4608,0.16222716867923737,7.408656529150903e-05,4.9464266339782625e-05,0.00017415088950656354,0.00022802177409175783,0.0003464394831098616,0.0009191835997626185,0.012594010680913925
12,o_proj,base_model.model.model.layers.12.self_attn.o_proj,4608,4608,0.4199449121952057,6.474557449109852e-05,4.449420521268621e-05,0.0001482766674598679,0.00019619771046563983,0.00030294436146505177,0.000899146543815732,0.013079466298222542
13,q_proj,base_model.model.model.layers.13.self_attn.q_proj,4608,4608,0.271494060754776,4.231360799167305e-05,3.0333605536725372e-05,9.40252939471975e-05,0.00012318207882344723,0.0001911709550768137,0.0005862850230187178,0.01889961212873459
13,k_proj,base_model.model.model.layers.13.self_attn.k_proj,512,4608,0.08651163429021835,4.2439569369889796e-05,3.265114355599508e-05,9.166838572127745e-05,0.00011531255586305633,0.00016943937225732952,0.0004491342115215957,0.017106374725699425
13,v_proj,base_model.model.model.layers.13.self_attn.v_proj,512,4608,0.13862267136573792,6.45285181235522e-05,4.514647298492491e-05,0.0001467445254093036,0.00019147063721902668,0.00029394234297797084,0.0006911825039424002,0.01290045864880085
13,o_proj,base_model.model.model.layers.13.self_attn.o_proj,4608,4608,0.4297543168067932,6.562376074725762e-05,4.4181611883686855e-05,0.00015160959446802735,0.0002006890281336382,0.00030995867564342916,0.000929787929635495,0.013294643722474575
14,q_proj,base_model.model.model.layers.14.self_attn.q_proj,4608,4608,0.24673481285572052,3.956853470299393e-05,2.9529561288654804e-05,8.609361975686625e-05,0.00011035756324417889,0.00016889962716959417,0.0005423655966296792,0.01888260990381241
14,k_proj,base_model.model.model.layers.14.self_attn.k_proj,512,4608,0.09024598449468613,4.364810592960566e-05,3.301894321339205e-05,9.466084884479642e-05,0.00012134829739807174,0.0001819334866013378,0.0005485978908836842,0.01681009866297245
14,v_proj,base_model.model.model.layers.14.self_attn.v_proj,512,4608,0.13451512157917023,6.485902122221887e-05,4.869593249168247e-05,0.0001422972563887015,0.00018262994126416743,0.00027344710542820394,0.0006844265153631568,0.01171112060546875
14,o_proj,base_model.model.model.layers.14.self_attn.o_proj,4608,4608,0.4248240292072296,6.586361996596679e-05,4.620198888005689e-05,0.00015152175910770893,0.0001994984777411446,0.0003051821840927005,0.0008538140100426972,0.012554592452943325
15,q_proj,base_model.model.model.layers.15.self_attn.q_proj,4608,4608,0.2733112573623657,4.286528201191686e-05,3.110078978352249e-05,9.596589370630682e-05,0.00012467567285057157,0.00019515043823048472,0.0006603774381801486,0.018332069739699364
15,k_proj,base_model.model.model.layers.15.self_attn.k_proj,512,4608,0.1066804826259613,4.949474532622844e-05,3.577837924240157e-05,0.00010883944923989475,0.00014372565783560276,0.0002352037699893117,0.000655179435852915,0.01584286242723465
15,v_proj,base_model.model.model.layers.15.self_attn.v_proj,512,4608,0.14190983772277832,6.597724132006988e-05,4.621972766472027e-05,0.00014994289085734636,0.00019569550931919366,0.0002993570815306157,0.0008206366328522563,0.012758891098201275
15,o_proj,base_model.model.model.layers.15.self_attn.o_proj,4608,4608,0.43662765622138977,6.791199848521501e-05,4.8242964112432674e-05,0.00015754898777231574,0.0002053903299383819,0.00031124381348490715,0.0009423294104635715,0.012211457826197147
16,q_proj,base_model.model.model.layers.16.self_attn.q_proj,4608,4608,0.29017752408981323,4.437228199094534e-05,3.0871102353557944e-05,0.00010154941264772788,0.0001351333048660308,0.00021395363728515804,0.0005987839540466666,0.019049232825636864
16,k_proj,base_model.model.model.layers.16.self_attn.k_proj,512,4608,0.08915307372808456,4.3384276068536565e-05,3.292678957222961e-05,9.474714170210063e-05,0.0001208660687552765,0.00017753431166056544,0.00045008506276644766,0.0168270543217659
16,v_proj,base_model.model.model.layers.16.self_attn.v_proj,512,4608,0.14585262537002563,6.824679439887404e-05,4.8692985728848726e-05,0.000153276021592319,0.00020132053759880364,0.00030972572858445346,0.0007472027791664004,0.0117708845064044
16,o_proj,base_model.model.model.layers.16.self_attn.o_proj,4608,4608,0.3803030848503113,6.0969803598709404e-05,4.61959425592795e-05,0.00013663340359926224,0.00017554053920321167,0.00026488330331631005,0.0007174139027483761,0.012402146123349667
17,q_proj,base_model.model.model.layers.17.self_attn.q_proj,4608,4608,0.31009718775749207,4.769602310261689e-05,3.314539208076894e-05,0.00010803036275319755,0.00014208146603778005,0.0002236989384982735,0.0006630613352172077,0.017534231767058372
17,k_proj,base_model.model.model.layers.17.self_attn.k_proj,512,4608,0.07762593775987625,3.9056132663972676e-05,3.147665847791359e-05,8.244420314440504e-05,0.00010078259947476909,0.0001437071623513475,0.00036656169686466455,0.017284393310546875
17,v_proj,base_model.model.model.layers.17.self_attn.v_proj,512,4608,0.15742570161819458,7.27201986592263e-05,5.061249976279214e-05,0.00016578531358391047,0.00021839686087332666,0.0003386300813872367,0.0008685244247317314,0.011586083099246025
17,o_proj,base_model.model.model.layers.17.self_attn.o_proj,4608,4608,0.48194101452827454,7.491622818633914e-05,5.1888149755541235e-05,0.00016774838150013238,0.00022000708850100636,0.0003370477934367955,0.0011548808543011546,0.011207486502826214
18,q_proj,base_model.model.model.layers.18.self_attn.q_proj,4608,4608,0.30464768409729004,4.574406921165064e-05,3.0343691832968034e-05,0.00010668136383173987,0.00014155684038996696,0.00022538738267030567,0.0008471686742268503,0.019651342183351517
18,k_proj,base_model.model.model.layers.18.self_attn.k_proj,512,4608,0.10037648677825928,4.855664155911654e-05,3.663769894046709e-05,0.00010686055611586198,0.00013603694969788194,0.0001985052804229781,0.0004429227556101978,0.0155325997620821
18,v_proj,base_model.model.model.layers.18.self_attn.v_proj,512,4608,0.16425077617168427,7.689489575568587e-05,5.4195923439692706e-05,0.000175836292328313,0.0002273023856105283,0.0003411573125049472,0.0008842031238600612,0.0108964703977108
18,o_proj,base_model.model.model.layers.18.self_attn.o_proj,4608,4608,0.5336748957633972,8.135182724799961e-05,5.2754072385141626e-05,0.0001891140127554536,0.0002480024704709649,0.000376084673916921,0.0009624535450711846,0.011483699083328247
19,q_proj,base_model.model.model.layers.19.self_attn.q_proj,4608,4608,0.28714266419410706,4.3568084947764874e-05,2.9679351428058e-05,9.851314825937152e-05,0.0001314199180342257,0.00021264054521452636,0.0007426778320223093,0.019575754180550575
19,k_proj,base_model.model.model.layers.19.self_attn.k_proj,512,4608,0.07895392179489136,3.886030026478693e-05,3.015179026988335e-05,8.389849972445518e-05,0.00010522513184696436,0.00015310573508031666,0.00048342306399717927,0.018344031646847725
19,v_proj,base_model.model.model.layers.19.self_attn.v_proj,512,4608,0.17813293635845184,8.350291318492964e-05,5.887568840989843e-05,0.00019027662347070873,0.0002460684336256236,0.00036806316347792745,0.0008786576217971742,0.0099326241761446
19,o_proj,base_model.model.model.layers.19.self_attn.o_proj,4608,4608,0.47671452164649963,7.436688611051068e-05,5.259207682684064e-05,0.00017077234224416316,0.00022320126299746335,0.0003371065540704876,0.0009757112129591405,0.011102653108537197
20,q_proj,base_model.model.model.layers.20.self_attn.q_proj,4608,4608,0.3474782109260559,5.527908433577977e-05,4.112147871637717e-05,0.00012210670683998615,0.0001565268321428448,0.0002382274396950379,0.0007745263865217566,0.014013879001140594
20,k_proj,base_model.model.model.layers.20.self_attn.k_proj,512,4608,0.09849483519792557,4.866705057793297e-05,3.7958416214678437e-05,0.00010479422053322196,0.000130911183077842,0.00018876604735851288,0.0004297932900954038,0.0147633021697402
20,v_proj,base_model.model.model.layers.20.self_attn.v_proj,512,4608,0.17919044196605682,8.279344183392823e-05,5.70431184314657e-05,0.00019147637067362666,0.00025037830346263945,0.000379176257411018,0.0010661868145689368,0.010553996078670025
20,o_proj,base_model.model.model.layers.20.self_attn.o_proj,4608,4608,0.4469703435897827,7.229542097775266e-05,5.465182039188221e-05,0.00015758167137391865,0.00020116801897529513,0.0002980271528940648,0.0008924537105485797,0.010215241461992264
21,q_proj,base_model.model.model.layers.21.self_attn.q_proj,4608,4608,0.2927035689353943,4.5961882278788835e-05,3.274264599895105e-05,0.0001029357299557887,0.00013376584684010595,0.0002073819632641971,0.0005557062104344368,0.017507247626781464
21,k_proj,base_model.model.model.layers.21.self_attn.k_proj,512,4608,0.09175422042608261,4.377454024506733e-05,3.235199983464554e-05,9.654576570028439e-05,0.0001241408463101834,0.00018896358960773796,0.0004818229645024985,0.017727745696902275
21,v_proj,base_model.model.model.layers.21.self_attn.v_proj,512,4608,0.1828378438949585,8.68978604557924e-05,6.301513349171728e-05,0.00019692294881679118,0.00025112132425419986,0.00037399824941530824,0.0008626070339232683,0.009561751037836075
21,o_proj,base_model.model.model.layers.21.self_attn.o_proj,4608,4608,0.5399953126907349,8.266859367722645e-05,5.5768068705219775e-05,0.0001900243223644793,0.0002485781442373991,0.0003816835524048656,0.0010765233309939504,0.010645784437656403
22,q_proj,base_model.model.model.layers.22.self_attn.q_proj,4608,4608,0.32056906819343567,4.994180562789552e-05,3.552182897692546e-05,0.0001112079480662942,0.0001458236074540764,0.000227083801291883,0.0007350530358962715,0.016256825998425484
